,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
291,85000.0,Blok 72,1993.0,Novi Beograd,61.0,2.0,5,7,stan,dr Ivana Ribara,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1393.44262295,"dr Ivana Ribara, Beograd","(44.7984109, 20.3688457)"
293,82011.0,Blok 38,1971.0,Novi Beograd,72.0,3.0,11,16,stan,Milutina Milankovića,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1139.04166667,"Milutina Milankovića, Beograd","(44.8114887, 20.4087779)"
295,52000.0,Dorćol,1939.0,Stari grad,32.0,1.0,3,3,stan,Braće Baruh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1625.0,"Braće Baruh, Beograd","(44.8268207, 20.4585298)"
297,79000.0,Banjica,1980.0,Voždovac,78.0,3.0,4,6,stan,Bulevar oslobođenja,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1012.82051282,"Bulevar oslobođenja, Beograd","(42.9962093, 21.9448471)"
298,105000.0,Konjarnik,1973.0,Zvezdara,93.0,3.5,5,5,stan,Ustanička,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1129.03225806,"Ustanička, Beograd","(44.7827419, 20.506166)"
299,105000.0,Mirijevo,1980.0,Zvezdara,96.0,3.5,2,4,stan,Aleksandra Belića,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1093.75,"Aleksandra Belića, Beograd","(44.3780165, 20.2854422)"
300,77000.0,Centar (Zemun),2006.0,Zemun,67.0,3.0,3,4,stan,Cara Dušana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1149.25373134,"Cara Dušana, Beograd","(44.8490121, 20.4030584)"
301,89000.0,Blok 37,1968.0,Novi Beograd,69.0,2.5,2,4,stan,Bulevar Arsenija Čarnojevića,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1289.85507246,"Bulevar Arsenija Čarnojevića, Beograd","(44.8163081, 20.4116307)"
302,106000.0,Vukov spomenik,1965.0,Zvezdara,73.0,2.5,3,5,stan,Dalmatinska,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1452.05479452,"Dalmatinska, Beograd","(44.623631, 20.3756836)"
304,62000.0,Banovo brdo,1970.0,Čukarica,50.0,2.0,,4,stan,Lješka,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1240.0,"Lješka, Beograd","(44.7806589, 20.4134153)"
309,275011.0,Hram Svetog Save,2012.0,Vračar,112.0,3.0,3,4,stan,Dubljanska,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2455.45535714,"Dubljanska, Beograd","(44.7959198, 20.4709548)"
311,42750.0,Učiteljsko naselje,2010.0,Zvezdara,40.0,1.5,5,5,stan,Dragutina Milutinovica 4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1068.75,"Dragutina Milutinovica 4, Beograd","(44.7878361, 20.5090556236102)"
313,1500.0,Cvetkova pijaca,2017.0,Zvezdara,1.0,3.0,1,5,stan,Hajduk Stankova,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1500.0,"Hajduk Stankova, Beograd","(44.7342881, 20.6124167)"
314,349011.0,Hram Svetog Save,1997.0,Vračar,152.0,5.0,1,6,stan,Internacionalnih brigada,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2296.125,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
315,51000.0,,2008.0,Zvezdara,35.0,1.5,,4,stan,Petra Škundrića,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1457.14285714,"Petra Škundrića, Beograd","(44.7893176, 20.5045842)"
